,gamma,alpha,lambda,avg_reward
0,0.9,0.02,0.25,14.0772
1,0.9,0.02,0.5,14.27
2,0.9,0.02,0.75,14.4336
3,0.9,0.01,0.25,13.9718
4,0.9,0.01,0.5,13.869
5,0.9,0.01,0.75,14.4472
6,0.9,0.001,0.25,12.006
7,0.9,0.001,0.5,13.1878
8,0.9,0.001,0.75,13.8184
9,0.95,0.02,0.25,14.023
10,0.95,0.02,0.5,14.5592
11,0.95,0.02,0.75,14.8874
12,0.95,0.01,0.25,13.0012
13,0.95,0.01,0.5,14.2894
14,0.95,0.01,0.75,14.6176
15,0.95,0.001,0.25,12.106
16,0.95,0.001,0.5,13.6638
17,0.95,0.001,0.75,14.2382
18,0.99,0.02,0.25,13.7028
19,0.99,0.02,0.5,14.8538
20,0.99,0.02,0.75,14.9884
21,0.99,0.01,0.25,12.7636
22,0.99,0.01,0.5,14.144
23,0.99,0.01,0.75,15.0462
24,0.99,0.001,0.25,12.2222
25,0.99,0.001,0.5,12.9778
26,0.99,0.001,0.75,14.2482
